Id,Title,Episode,Season,Episode Code,Category,Entrepreneurs,Location,City,State,Website,Amount Asked For,Exchange For Stake,Valuation,Shark 1,Shark 2,Shark 3,Shark 4,Shark 5,Deal Status,Shark(s) That Made a Deal,Deal Shark 1,Deal Shark 2,Deal Shark 3,Deal Shark 4,Deal Shark 5,Multiple Entreprenuers,Description
37,Notehall,8,1,108,Online Services,D.J. Stephan and Sean Conway,"San Francisco, CA",San Francisco, CA,http://www.notehall.com,90000,0.1,900000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC,Barbara Corcoran,,,,,TRUE,A web site that allows college students to buy and sell class notes and study guides.
38,Treasure Chest Pets,8,1,108,Toys and Games,Lisa Lloyd,"San Jose, CA",San Jose, CA,,150000,0.2,750000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC+DJ,Barbara Corcoran,Daymond John,,,,FALSE,Kids' organizers that look like stuffed animals for children.
39,Gayla Bentley Fashion,9,1,109,Women's Apparel,Gayla Bentley,"Houston, TX",Houston, TX,http://www.gaylabentley.com/,250000,0.2,1250000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC+DJ,Barbara Corcoran,Daymond John,,,,FALSE,Women's apparel specially designed for sizes 12 to 18.
40,VirtuSphere,9,1,109,Electronics,Ray Latypov and Jim Dimascio,"Binghampton, NY",Binghampton, NY,http://www.virtusphere.com/,1500000,0.1,15000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,TRUE,A virtual reality locomotion simulator.
41,Chill Soda,9,1,109,Non-Alcoholic Beverages,Dan Mackey,"Sausalito, CA",Sausalito, CA,http://www.chillsoda.com/,50000,0.1,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC,Barbara Corcoran,,,,,FALSE,"A healthier line of carbonated beverages featuring organic ingredients, vitamins, antioxidants, and just 85 calories per can."
42,Cornucopia,9,1,109,Pet Products,Dr. Geoffrey Broderick and Kristina Broderick,"Huntington, NY",Huntington, NY,http://www.cornucopiapetfoods.com/,300000,0.15,2000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,TRUE,Probiotic food for dogs and cats.
43,The Bobble Place,10,1,111,Toys and Games,Jeff Wolsky,"Tampa, FL",Tampa, FL,http://www.webobble.com/,75000,0.18,416667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,Custom-made bobblehead dolls.
44,Uroclub,10,1,111,Golf Products,Dr. Floyd Seskin,"Miami, FL",Miami, FL,http://www.uroclub.com/,25000,0.51,49020,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,Others,Others,,,,,FALSE,"A faux golf club that looks like a 7 iron but conceals a urine reservoir, for those times golfers need to relieve themselves but there is not a restroom nearby."
45,Jump Forward,10,1,111,Online Services,Brian Duggan and Adam McCombs,"Chicago, IL",Chicago, IL,http://www.jumpforward.com/,150000,0.1,1500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,KOL+RH,Kevin O'Leary,Robert Herjavec,,,,TRUE,An online service allowing high school athletes and their parents to profile their skills to market themselves to colleges.
46,Mr. Poncho,10,1,111,Electronics,Sandy Hyun and Roman Pietrs,"New York, NY",New York, NY,,50000,0.25,200000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,TRUE,A protective covering for MP3 players and similar devices.
47,Ink Flip,11,1,112,Electronics,Andy Sperry,"Franklin, TN",Franklin, TN,http://www.inkflip.com/,150000,0.2,750000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,"A printer ink refill service. They send the customer a backup ink cartrige to start with. Any time the customer runs out of ink, they send the dry cartridge back to Ink Flip, while they use the replacement cartridge. Ink Flip replaces the dry cartridge with a full one. The cycle repeats when the next cartridge runs out."
48,Romp N' Roll,11,1,112,Baby and Children's Entertainment,Michael and Babz Barnett,"Blacksburg, VA",Blacksburg, VA,http://www.rompnroll.com/,300000,0.1,3000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,TRUE,A chain of children's play and learning centers.
49,The Chef in Black,11,1,112,Specialty Food,Dorene Humason,"Folsom, CA",Folsom, CA,http://chefinblack.com/,50000,0.1,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC,Barbara Corcoran,,,,,FALSE,Salad dressings using a tasty blend of all-natural spices and seasonings.
50,Hells Bells Helmets,11,1,112,Outdoor Recreation,Marix Stone and Dr. Nancy Tanchel,"Philadelphia, PA",Philadelphia, PA,http://www.hellsbellscustoms.com/,500000,0.2,2500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,DJ,Daymond John,,,,,TRUE,Designer helmets. The company owns a utility patent to place 3D designs on motorcycle helmets as well as any other kind of sporting helmet.
51,The Factionist,12,1,113,Men and Women's Apparel,Nate Berkopec,"New York, NY",New York, NY,,30000,0.2,150000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,An ethical and eco-friendly apparel brand.
52,Grease Monkey Wipes,12,1,113,Outdoor Recreation,Tim Stansbury and Erin Whalen,"Austin, TX",Austin, TX,http://www.greasemonkeywipes.com/,40000,0.4,100000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC+RH,Barbara Corcoran,Robert Herjavec,,,,TRUE,Individually-packaged degreasing cleaning wipes formulated for cyclists to easily remove grease and grime from working on bicycles.
