Id,Title,Episode,Season,Episode Code,Category,Entrepreneurs,Location,City,State,Website,Amount Asked For,Exchange For Stake,Valuation,Shark 1,Shark 2,Shark 3,Shark 4,Shark 5,Deal Status,Shark(s) That Made a Deal,Deal Shark 1,Deal Shark 2,Deal Shark 3,Deal Shark 4,Deal Shark 5,Multiple Entreprenuers,Description
63,Pillars of Slippers,14,1,110,Women's Shoes,Nicole Jones,"Chicago, IL",Chicago, IL,,150000,0.15,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,A home-based shoe business with a sales model similar to Tupperware parties.
64,Wurkin Stiffs,1,2,205,Men's Accessories,Jonathan Boos,"Sarasota, FL",Sarasota, FL,http://wurkinstiffs.com/,85000,0.1,850000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,BC+DJ,Barbara Corcoran,Daymond John,,,,FALSE,"Collar stays: can't live with 'em, can't live without 'em. For any man that has struggled to keep their collars pert and upright, and suffered the constant shifting of their plastic collar stays, there's Wurkin Stiffs. This company makes men's accessories for the long haul, offering solutions to common inconveniences in men's apparel. The Wurkin Stiffs signature product is the Power Stays, which are kept securely in place by strong magnets. While Power Stays are made for men's dress shirts, the company also produces Polo Stays that keep your polo shirts looking crisp. Wurkin stiffs has expanded to offer a full suite of men's accessories, including cufflinks, RFID wallets, money clips, tie bars, and travel bags."
65,Tippi Toes,1,2,205,Baby and Children's Entertainment,Megan Reilly and Sarah Nuse,"Corpus Christi, TX",Corpus Christi, TX,http://www.tippitoesdance.com/,30000,0.05,600000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,TRUE,Dance education centers for children.
66,Copa di Vino,1,2,205,Alcoholic Beverages,James Martin,"The Dalles, OR",The Dalles, OR,http://www.copadivino.com/,300000,0.05,6000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,Premium wine sold by the glass in individually-sealed plastic cups.
67,CBS Foods,1,2,205,Specialty Food,Shawn Davis,"Nashville, TN",Nashville, TN,http://www.bigshakeshotchicken.com/,200000,0.25,800000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,Food products by Chef Big Shake. The flagship product is the Original Shrimp Burger.
68,Toygaroo,2,2,202,Toys and Games,Nikki Pope,"Los Angeles, CA",Los Angeles, CA,,100000,0.1,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,KOL+MC,Mark Cuban,Kevin O'Leary,,,,FALSE,A subscription toy service.
69,Wake n' Bacon,2,2,202,Novelties,Matty Sallin,"San Francisco, CA",San Francisco, CA,http://mattysallin.wordpress.com/,40000,0.2,200000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,An alarm clock that wakes up the user with freshly cooked bacon.
70,First Defense Nasal Screen,2,2,202,Health and Well-Being,Joe Moore,"New Port Richey, FL",New Port Richey, FL,http://www.filteryourlife.com/,500000,0.1,5000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ+KOL+MC,Mark Cuban,Daymond John,Kevin O'Leary,,,FALSE,Allergy season bringing you down? Maybe it's time to give First Defense Nasal Screens a try. These screens ward off allergies without medication. First Defense Nasal Screens are self-adhesive strips that attach to your nose to cover the nasal passage. They filter the air coming in through your nose and keeps allergens out. This product has been tested to significantly reduce 99% of particles at 10 microns. Even at sub micron levels they have been shown to be effective by 77% or more.
71,Vurtego,2,2,202,Toys and Games,Brian Spencer,"Mission Viejo, CA",Mission Viejo, CA,http://www.vurtegopogo.com/,500000,0.2,2500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Vurtego is a high-tech pogo stick that is super lightweight, ultra durable, and nearly silent. It provides the smoothest and highest performance pogo ride anywhere. Eschewing the traditional pogo stick spring, Vurtego's bounce comes from compressed air instead. Before hopping on, you simply pump it up using any bike pump or air compressor. The cylinder body is made of aircraft aluminum and the footpeg assembly locks the user's feet to the pogo stick securely during the bounce. Made in the USA, Vurtego comes fully assembled and ready to bounce you to new heights!"
72,Fitness Stride,3,2,206,Fitness Apparel and Accessories,Stacy Erwin,"Overland Park, KS",Overland Park, KS,http://www.fitnessstride.com,140000,0.15,933333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,Rubber bands that increase the resistance in your exercise activities.
73,Mod Mom Furniture,3,2,206,Furniture,Kiersten Hathcock,"Flagstaff, AZ",Flagstaff, AZ,http://www.modmomfurniture.com/,90000,0.25,360000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,RH,Robert Herjavec,,,,,FALSE,"Mod Mom Furniture is stylish, high-quality, made-to-order furniture for children's bedrooms and playrooms. These carefully crafted pieces are long-lasting, so they can serve your child over many years. The company was founded by the eponymous mom who was dissatisfied with the current offerings on the market, which were expensive and uninspired. Mod Mom Furniture sources eco-friendly materials, including sustainable and formaldehyde-free wood and varnishing products."
74,Flip Outz,3,2,206,Toys and Games,Emily Johnson,"Myrtle Beach, NC",Myrtle Beach, NC,http://www.flipoutz.com/,100000,0.2,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,DJ+KOL+RH,Kevin O'Leary,Daymond John,,,,FALSE,"FlipOutz are flexible silicon bracelets that can hold five coins of your choosing. Kids can personalize their Flip Outz with any five of numerous available choices. You can also swap out coins, trade them with friends, and even set up an online profile which lets you show off the coins you have and see where your traded coins have traveled over time."
75,Pure Ayre,3,2,206,Storage and Cleaning Products,James Mitchell,"Kent, WA",Kent, WA,http://www.pureayre.com/,150000,0.1,1500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,"Pure Ayre Odor Eliminator is for anyone who owns pets or has ever faced off against lingering smells. What makes Pure Ayre different than other smell-neutralizing sprays is that it uses natural enzymes to break down the smelly compounds. Pure Ayre banishes bad odors without harsh chemicals, alcohol, bacteria, or citrus. It's effective on even the most offensive smells, for example vomit, skunk spray, and kennel odors. Once you buy your first 14 oz. or 22 oz. spray bottle of Pure Aure Odor Eliminator, you can buy it by the gallon and continue to reuse the bottle."
76,Hillbilly Brand,4,2,203,Men and Women's Apparel,Mike Abbaticchio & Shon Lees,"Parkland, FL",Parkland, FL,http://www.hillbillybrand.com/,50000,0.25,200000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Jeff Foxworthy,Daymond John,Deal Made,DJ+RH,Daymond John,Robert Herjavec,,,,FALSE,"A country-style apparel store sold through Sports Authority, truck stops and travel plazas."
77,Ride-On Carry-On,4,2,203,Baby and Child Care,Darryl and Randy Lenz,"Peachtree City, GA",Peachtree City, GA,http://www.rideoncarryon.com/,50000,0.25,200000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Jeff Foxworthy,Daymond John,Deal Made,BC,Barbara Corcoran,,,,,TRUE,A children's seat attachable to luggage that instantly converts it into a travel stroller.
78,Uncle Zip's Beef Jerky,4,2,203,Specialty Food,Ken Howell,"Hope Mills, NC",Hope Mills, NC,http://unclezipsjerky.com/,25000,0.2,125000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Jeff Foxworthy,Daymond John,No Deal Made,,,,,,,FALSE,Premium beef jerky made without additives or preservatives.
79,Broccoli Wad,4,2,203,Novelties,Johnny Gennaro & Vinny Pastore,"New York, NY",New York, NY,http://amzn.to/1AcWx1t,50000,0.2,250000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Jeff Foxworthy,Daymond John,Deal Made,BC,Barbara Corcoran,,,,,FALSE,A rubber band that works as a money clip.
80,THINgloss,5,2,115,Personal Care and Cosmetics,April Morris,"Indianapolis, IN",Indianapolis, IN,,80000,0.2,400000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,An aromatic lip gloss designed to help curb appetite.
81,Lightfilm,5,2,115,Automotive,George Podd and Rolf Schwartz,"Chicago, IL",Chicago, IL,http://powerdecal.com/,100000,0.05,2000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,DJ+RH,Daymond John,Robert Herjavec,,,,TRUE,Light-up decals for car windows.
82,Clip'n'Go,5,2,115,Novelties,Bob Kroupa,"Chicago, IL",Chicago, IL,http://clipngo.com/,500000,0.3,1666667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,"Small cases for mints, gum and contact lenses featuring a clip that allows them to be attached to belts, backpacks, or other travel gear."
83,Fridge Fronts,5,2,115,Home Improvement,Jan Augenstein,"Dayton, OH",Dayton, OH,http://www.fridgefronts.com/,100000,0.3,333333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC,Barbara Corcoran,,,,,FALSE,A magnetic skin with a decorative finish that can be applied to any appliance.
84,Sweep Easy,6,2,207,Storage and Cleaning Products,Shane Pannell,"Scottsdale, AZ",Scottsdale, AZ,http://buysweepeasy.com/,40000,0.25,160000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,DJ,Daymond John,,,,,FALSE,A new kind of broom with a built-in scraper.
85,Caddy Swag,6,2,207,Golf Products,Melissa and Ben Fossey,"Minnetonka, MN",Minnetonka, MN,,60000,0.2,300000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,TRUE,"Accessories for casual golfers. The flagship product is the Par 6 cooler, which can keep a six-pack of beer stored in the shoe pocket of any golf bag."
86,Daisy Cakes,6,2,207,Specialty Food,Kim Nelson,"Greenville, SC",Greenville, SC,https://www.ilovedaisycakes.com/,50000,0.25,200000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC,Barbara Corcoran,,,,,FALSE,Cakes made from scratch from family recipes. They ship nationwide and orders can be placed online.
87,Hot Mama Gowns,6,2,207,Maternity,Deidrea Haysel,"Townsend, MD",Townsend, MD,http://www.hotmamagowns.com/,30000,0.2,150000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,Designer hospital gowns for expecting moms.
88,Hydromax,7,2,201,Fitness Apparel and Accessories,Chris Spencer,"Houston, TX",Houston, TX,http://www.hydromaxsystem.com/,50000,0.25,200000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Jeff Foxworthy,Daymond John,Deal Made,Others,Others,,,,,FALSE,"An impact-resistant hydration system that attaches to shoulder pads, aimed at football players in training."
89,Games2U,7,2,201,Entertainment,Stuart and David Pikoff,"Austin, TX",Austin, TX,http://www.g2u.com/,500000,0.1,5000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Jeff Foxworthy,Daymond John,No Deal Made,,,,,,,TRUE,A mobile entertainment company running specialized vehicles with movie theaters and video games.
90,Carsik Bib,7,2,201,Baby and Child Care,Les Cookson,"Sacramento, CA",Sacramento, CA,http://www.carsikbib.com,30000,0.15,200000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Jeff Foxworthy,Daymond John,No Deal Made,,,,,,,FALSE,"A barf bag worn around the neck, for small children who are prone to carsickness."
91,Ecomowers,7,2,201,Gardening,Andy Humphrey,"Traverse City, MD",Traverse City, MD,http://www.ecomowers.com/,90000,0.2,450000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Jeff Foxworthy,Daymond John,No Deal Made,,,,,,,FALSE,A push mower marketed as a more eco-friendly alternative than powered mowers.
92,Man Candle,8,2,204,Home Accessories,Johnson Bailey,"Broken Arrow, OK",Broken Arrow, OK,,50000,0.25,200000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"A line of candles that come in ""manly"" scents of pot roast, golf course, football, popcorn and draft beer, among others."
93,Original Runner Company,8,2,204,Weddings,Julie Goldman,"Montclair, NJ",Montclair, NJ,http://www.originalrunners.com/,250000,0.15,1666667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,Non-stick fabric aisle runners for wedding ceremonies and special events.
94,Origaudio,8,2,204,Electronics,Jason Lucash and Michael Szymczak,"Costa Mesa, CA",Costa Mesa, CA,http://www.origaudio.com,150000,0.15,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,RH,Robert Herjavec,,,,,TRUE,"The Rocket, the company's flagship product, can turn anything into a speaker through its vibrations."
95,Hy-Conn,8,2,204,Productivity Tools,Jeff Stroope,"Ashdown, AR",Ashdown, AR,http://www.hy-conn.com/,500000,0.4,1250000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,FALSE,Hy-Conn is a super-fast connector for fire hydrants and garden hoses. The Pro Edition can be connected to any fire hydrant without the use of adapters or tools. The Home edition is for garden hoses.
96,CitiKitty,9,2,208,Pet Products,Rebecca Rescate,"Morrisville, PA",Morrisville, PA,http://www.citikitty.com/,100000,0.15,666667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,Others,Others,,,,,FALSE,"The patented CitiKitty Cat Toilet Training Kit uses a proven, disappearing litter box technique that has successfully toilet trained cats for decades. CitiKitty's specially-designed training seat fits ALL toilets and transitions cats of all age, size, and breed from litter box to toilet. Any healthy cat, three months of age or older that is successfully using a litter box is a candidate for toilet training."
97,Samson Martin,9,2,208,Women's Apparel,Kim Preis,"Chicago, IL",Chicago, IL,,50000,0.15,333333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,T-shirts for expectant moms that display the due date.
98,One Sole,9,2,208,Women's Shoes,Dominique McClain Barteet,"Palm Beach, FL",Palm Beach, FL,http://www.onesolestore.com/,500000,0.2,2500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,DJ,Daymond John,,,,,FALSE,Shoes with interchangeable uppers allowing the user to easily vary their look.
99,Aldo Orta Jewelry,9,2,208,Women's Accessories,Aldo Orta,"Burbank, IL",Burbank, IL,http://www.aojewelry.com/,180000,0.45,400000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC,Barbara Corcoran,,,,,FALSE,Aldo Orta Jewelry makes fashion jewelry with a royal theme.
100,The Clean Bottle,1,3,301,Water Bottles,Dave Mayer,"Oakland, CA",Oakland, CA,http://www.cleanbottle.com/,60000,0.05,1200000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,FALSE,A water container that unscrews from the bottom as well as the top for ease of cleaning.
101,EZ VIP,1,3,301,Entertainment,Alashe Nelson,"Miami, FL",Miami, FL,https://www.ezvip.com/,150000,0.15,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ+MC,Mark Cuban,Daymond John,,,,FALSE,A website where people can pre-purchase a night out on the town without the fear of getting turned away from a venue.
102,Business Ghost,1,3,301,Professional Services,Michael Levin,"Irvine, CA",Irvine, CA,http://businessghost.com/,200000,0.1,2000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,Professional ghost-writing services company.
103,My Wonderful Life,1,3,301,Consumer Services,Nancy Bush and Sue Kruskopf,"Minneapolis, MN",Minneapolis, MN,https://www.mywonderfullife.com/,100000,0.1,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,Personalized services for planning your own funeral in advance. They have partnered with a large insurance company for a plan that gives people the opportunity to prepay for their funeral.
104,I Want to Draw a Cat for You,2,3,302,Online Services,Steve Gadlin,"Chicago, IL",Chicago, IL,http://iwanttodrawacatforyou.com/,10000,0.25,40000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,FALSE,"An online service where people can buy made-to-order cartoon drawings of cats, which are posted to the website."
105,Salespreneur,2,3,302,Professional Services,Dave Greco,"Hamden, CT",Hamden, CT,http://thesalespreneur.com/,90000,0.4,225000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,A system to teach how to make successful sales pitches and step-by-step guides on what to say to prospective customers.
106,Invis-A-Rack,2,3,302,Automotive,Donny McCall,"Greensboro, NC",Greensboro, NC,http://www.invisarack.com,100000,0.1,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,A cargo management system that can transform a pickup truck into a bigger cargo-carrying vehicle in about 30 seconds with racks that fold out of the back bed.
107,Rick Smith Jr. Vegas Magic Show,2,3,302,Entertainment,Rick Smith,"Cleveland, OH",Cleveland, OH,http://ricksmithjr.com/,1500000,0.2,7500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,Concept for a family-friendly magic show in Las Vegas.
108,Chord Buddy,3,3,303,Music,Travis Perry,"Dothan, AL",Dothan, AL,http://www.chordbuddy.com/,125000,0.1,1250000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,RH,Robert Herjavec,,,,,FALSE,"Chord Buddy is a one-of-a-kind learning system for the guitar that gets you playing from day one. Attach these tabs to your acoustic or electric guitar (right-handed only, sorry!) and you're ready to make music. Chord Buddy basically turns your real-life guitar into one as easy to play as those in your favorite Rock Band or Guitar Hero games. One at a time, you remove hte tabs and learn to play the chords on your own. Using the included instruction book, songbook, and DVD with two-month lesson plan, you can learn over 100 songs on your own!"
109,Liquid Money,3,3,303,Novelties,Pat McCarthy,"Miami, FL",Miami, FL,http://www.liquidmoney.com/,100000,0.05,2000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Liquid Money answers the question: what if I smelled like a million bucks, instead of just looking like it? Not literally though! That would be unfortunate. Liquid Money for Him is formulated to smell like success. The fragrance opens with a woodsy aroma that gives way to notes of citrus, rosemary, grass, and ocean breeze. The company was founded and is led by Pat McCarthy, a sales executive with experience at top enterprise software companies. Liquid Money's website even asserts the product is used at Microsoft, salesforce, and SAP. Not to forget the ladies, Liquid Money is also available in a women's formulation. All products come in a box packed with real shredded US dollar bills, just to really drive home the point!"
110,Tail Lightz,3,3,303,Electronics,Kyle Rainey,"Emeryville, CA",Emeryville, CA,http://www.taillightz.com/,50000,0.5,100000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,Attachable lighted patches for jean pockets.
111,You Smell Soap,3,3,303,Personal Care and Cosmetics,Megan Cummins,"Austin, TX",Austin, TX,http://www.yousmellsoap.com/,55000,0.2,275000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,RH,Robert Herjavec,,,,,FALSE,"You Smell Soap is luxurious without taking itself too seriously. Made natural ingredients like shea butter and olive oil, You Smell Soap is fragrant yet gentle and soothing on the skin. Made with shea butter and olive oil, these bars create an unmatched soft and creamy lather. You Smell Soap is naturally fragrant yet gentle and soothing on your skin. Each bar comes wrapped in its signature ""You Smell"" packaging that is vintage-inspired and truly conversation-sparking. You Smell Soap is vegan and free of parabens, phthalates, and gluten."
